Iteracja: 0 | x1: 1 | x2: 1
Iteracja: 169 | x1: 0.854129 | x2: 0.884959
Iteracja: 170 | x1: 0.853231 | x2: 0.8843
Iteracja: 171 | x1: 0.852334 | x2: 0.883641
Iteracja: 172 | x1: 0.851436 | x2: 0.882983
Iteracja: 173 | x1: 0.850538 | x2: 0.882326
Iteracja: 174 | x1: 0.84964 | x2: 0.881669
Iteracja: 175 | x1: 0.848742 | x2: 0.881013
Iteracja: 176 | x1: 0.847844 | x2: 0.880357
Iteracja: 177 | x1: 0.846946 | x2: 0.879702
Iteracja: 178 | x1: 0.846047 | x2: 0.879048
Iteracja: 179 | x1: 0.845148 | x2: 0.878394
Iteracja: 180 | x1: 0.84425 | x2: 0.877741
Iteracja: 181 | x1: 0.843351 | x2: 0.877088
Iteracja: 182 | x1: 0.842452 | x2: 0.876437
Iteracja: 183 | x1: 0.841553 | x2: 0.875785
Iteracja: 184 | x1: 0.840654 | x2: 0.875135
Iteracja: 185 | x1: 0.839754 | x2: 0.874485
Iteracja: 186 | x1: 0.838855 | x2: 0.873836
Iteracja: 187 | x1: 0.837956 | x2: 0.873187
Iteracja: 188 | x1: 0.837056 | x2: 0.872539
Iteracja: 189 | x1: 0.836157 | x2: 0.871892
Iteracja: 190 | x1: 0.835257 | x2: 0.871246
Iteracja: 191 | x1: 0.834357 | x2: 0.8706
Iteracja: 192 | x1: 0.833458 | x2: 0.869955
Iteracja: 193 | x1: 0.832558 | x2: 0.86931
Iteracja: 194 | x1: 0.831658 | x2: 0.868667
Iteracja: 195 | x1: 0.830758 | x2: 0.868024
Iteracja: 196 | x1: 0.829858 | x2: 0.867382
Iteracja: 197 | x1: 0.828959 | x2: 0.86674
Iteracja: 198 | x1: 0.828059 | x2: 0.866099
Iteracja: 199 | x1: 0.827159 | x2: 0.865459
Iteracja: 200 | x1: 0.826259 | x2: 0.86482
Iteracja: 201 | x1: 0.825359 | x2: 0.864182
Iteracja: 202 | x1: 0.824459 | x2: 0.863544
Iteracja: 203 | x1: 0.823559 | x2: 0.862907
Iteracja: 204 | x1: 0.822659 | x2: 0.862271
Iteracja: 205 | x1: 0.821759 | x2: 0.861635
Iteracja: 206 | x1: 0.820859 | x2: 0.861001
Iteracja: 207 | x1: 0.819959 | x2: 0.860367
Iteracja: 208 | x1: 0.819059 | x2: 0.859734
Iteracja: 209 | x1: 0.818159 | x2: 0.859102
Iteracja: 210 | x1: 0.817259 | x2: 0.85847
Iteracja: 211 | x1: 0.81636 | x2: 0.85784
Iteracja: 212 | x1: 0.81546 | x2: 0.85721
Iteracja: 213 | x1: 0.81456 | x2: 0.856581
Iteracja: 214 | x1: 0.81366 | x2: 0.855953
Iteracja: 215 | x1: 0.812761 | x2: 0.855325
Iteracja: 216 | x1: 0.811861 | x2: 0.854699
Iteracja: 217 | x1: 0.810962 | x2: 0.854073
Iteracja: 218 | x1: 0.810062 | x2: 0.853448
Iteracja: 219 | x1: 0.809163 | x2: 0.852824
Iteracja: 220 | x1: 0.808264 | x2: 0.852201
Iteracja: 221 | x1: 0.807365 | x2: 0.851579
Iteracja: 222 | x1: 0.806466 | x2: 0.850958
Iteracja: 223 | x1: 0.805567 | x2: 0.850337
Iteracja: 224 | x1: 0.804668 | x2: 0.849718
Iteracja: 225 | x1: 0.803769 | x2: 0.849099
Iteracja: 226 | x1: 0.80287 | x2: 0.848481
Iteracja: 227 | x1: 0.801972 | x2: 0.847864
Iteracja: 228 | x1: 0.801074 | x2: 0.847248
Iteracja: 229 | x1: 0.800175 | x2: 0.846633
Iteracja: 230 | x1: 0.799277 | x2: 0.846019
Iteracja: 231 | x1: 0.798379 | x2: 0.845406
Iteracja: 232 | x1: 0.797481 | x2: 0.844794
Iteracja: 233 | x1: 0.796584 | x2: 0.844182
Iteracja: 234 | x1: 0.795686 | x2: 0.843572
Iteracja: 235 | x1: 0.794789 | x2: 0.842962
Iteracja: 236 | x1: 0.793891 | x2: 0.842354
Iteracja: 237 | x1: 0.792994 | x2: 0.841746
Iteracja: 238 | x1: 0.792097 | x2: 0.841139
Iteracja: 239 | x1: 0.791201 | x2: 0.840534
Iteracja: 240 | x1: 0.790304 | x2: 0.839929
Iteracja: 241 | x1: 0.789408 | x2: 0.839325
Iteracja: 242 | x1: 0.788512 | x2: 0.838722
Iteracja: 243 | x1: 0.787616 | x2: 0.838121
Iteracja: 244 | x1: 0.78672 | x2: 0.83752
Iteracja: 245 | x1: 0.785824 | x2: 0.83692
